pathway	SRR8488421	SRR8488422	SRR8488423	SRR8488424	SRR8488426	SRR8488427	SRR8488428	SRR8488429	SRR8488430	SRR8488431	SRR8488432	SRR8488433	SRR8488434	SRR8488435	SRR8488436	SRR8488437	SRR8488438	SRR8488439	SRR8488440	SRR8488441	SRR8488442	SRR8488443	SRR8488444	SRR8488445	SRR8488446	SRR8488447	SRR8488448	SRR8488449	SRR8488450	SRR8488451	SRR8488452	SRR8488453	SRR8488454	SRR8488455	SRR8488456	SRR8488457	SRR8488458	SRR8488459	SRR8488460	SRR8488461	SRR8488462	SRR8488463	SRR8488464	SRR8488465	SRR8488466	SRR8488467	SRR8488468	SRR8488469	SRR8488470	SRR8488471	SRR8488472
12DICHLORETHDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.473684210526315	0.0	0.0	0.0	0.0	0.0	42.139155573774026	0.0	0.0	0.0	0.0	13.772021749876421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.16131170931675	0.0	0.0	0.0	0.0	90.63438708489349	0.0	0.0	0.0	0.0	0.0	14.780118746543215	0.0	0.0	0.0	0.0	0.0	7.969480842594129	8.465911072362685	0.0	0.0	0.0	14.545454545454547	16.621775049614623
14DICHLORBENZDEG-PWY	0.0	0.0	0.0	0.0	2.641594584430237	2.1244895844128924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.424808433567083	0.0	0.0	0.0	0.0	0.0	4.059640102827763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.508370044052867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY	10047.444836538216	8792.229200110005	12724.470070136114	11619.871284157947	10751.97299123475	9562.876322475873	9253.958123069497	11544.199239001262	13582.079573644218	8002.0793042596115	10764.938651591468	8119.134320927941	11164.643727638086	11178.476053665638	11189.862269224155	8585.618051522184	12308.951232294774	14330.552330265064	12027.322297827168	11336.099382925837	11996.701632962651	7700.035587406768	12205.809466678997	11624.261793330397	8241.289477055734	8281.700204020832	11751.416864627261	14176.92271540144	10005.30886982746	20600.63107856395	11112.009773165237	18158.122141489945	10947.430439749474	7240.838073486721	10370.893528536302	14480.577560299242	7047.131966231959	9416.317386199788	11837.854000658315	12149.034270941682	13265.016230381942	10275.236497394413	10406.020783621098	8368.713908014308	11534.929569430968	9662.772973245737	8036.867996961035	8764.449401893664	10439.882295495725	10221.488933603863	11401.692275094465
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	7.2044891926764905	4.231083595762081	32.982245770032776	77.9282646975212	0.0	0.0	0.0	33.98408312292099	39.24296109180443	255.8036295910533	30.029559174768796	0.0	24.49440769538817	22.58541340495269	50.57433687251675	148.77151946590095	17.35409993450687	0.0	39.94464430993992	536.445343100528	57.35292346343218	0.0	0.0	0.0	0.0	0.0	0.0	39.01222699790911	73.88339875336838	5.51038307385775	0.0	3.679767143160473	56.04290180483884	49.49030025574772	58.903950235711484	5.049270361639631	0.0	17.399822562299104	16.572660238265243	0.0	3.131699306794496	0.0	0.0	4.439425090199763	2.947340463541042	4.691327853818046	43.46628588594816	0.0	0.0
4-HYDROXYMANDELATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.432207576940852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.507645259938837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.08933055511032
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.823978895660876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.304517027426016	0.0	0.0	0.0	0.0	7.045546858035328	0.0	5.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.349005852299667	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY	0.0	11.050415313706006	105.79232039644376	113.77650661211983	71.29012351755973	89.16334876160086	24.420072863073273	101.88608071566239	0.0	0.0	76.19787732993224	446.1829771706177	42.8138273584321	368.4507631413252	0.0	212.64615195232273	19.814529387664845	75.78312788049095	26.95484326644551	72.29603397393458	48.50338192242253	46.16740452308996	425.5318247524721	0.0	9.749923937212362	152.43805184987596	6.477712564207589	622.5973983664702	184.4695491980602	192.6858289443319	65.58465727576613	244.85128157770015	307.50363696689715	66.66284799991615	62.74037208167008	17.75506617924626	0.0	4.199076079222071	922.5517913382649	58.73478219639013	27.012569323359124	0.0	0.0	18.657016715853143	74.04311160573472	17.015578480937908	9.378842704434467	4.53938104764172	40.82610595931871	42.801559636991364	434.8851020944567
ANAEROFRUCAT-PWY	5560.9126098824645	5230.785340910461	9811.533574423082	8860.77905965948	7532.257163214004	7737.341845507074	4257.3200155492195	6657.607723393314	5515.0503139512575	5688.0535121181265	7278.571872784701	6139.947408671214	6368.835059370768	7510.90212427149	6706.776731228396	7231.822707807433	9418.012883694484	6494.560012630054	6716.4571458825785	4700.846916494987	6291.063999445996	4695.761496844361	9761.486069738867	4829.986201963177	6187.03563188017	4134.280953338579	6945.95264726583	11149.839718562203	5245.022862986141	8325.107284048536	7808.028278226578	12344.834097008828	9764.466681561618	5919.111908812219	7273.671563681813	6446.071583385079	4310.656152367314	6339.857962992518	9698.87283405448	7545.943261608398	7877.584512183056	5075.700651193224	5352.327596864694	5155.361193064058	5386.442717934722	5414.307554709276	3083.207081755121	7497.150660513063	3120.2482537711508	7135.338962886244	4382.614765185961
ANAGLYCOLYSIS-PWY	7281.990743226577	6827.578700033746	12294.016796979637	11259.08694509618	9887.957893126206	9727.437128242038	5740.54472194186	8324.024587941727	7436.561034108996	7217.42684009621	9427.996049082489	7815.46591483338	8392.22858012816	9669.48940140731	8824.59282966421	9028.483046627069	11787.40682896418	8834.05525900203	8896.016609018794	6232.653809059934	8351.036152572222	5992.467688436132	12574.192270454876	6400.651223786751	7906.280745839272	5757.945610496901	9069.156591422648	14280.556743231993	6907.393750141514	11381.538890611262	10064.828030144692	15574.846779740239	12434.56055438916	7375.726849746458	9510.74031561117	8730.968523437805	6081.556268099592	8288.024584490226	13048.511228842235	9912.475756523294	10233.140640701024	6938.461325821467	7150.3800317574905	6909.874891511484	7282.847801303331	7154.743948537203	4448.775965691703	9777.636985661447	4380.727582355143	9297.968031160626	5503.223673452708
ARG+POLYAMINE-SYN	2594.5577454517684	1742.4985525946038	2828.2997191358613	2800.540584181968	3298.202120182787	2619.729797582186	2788.3888355951835	4832.224251364806	3068.0633597972364	1908.0776629860427	3954.0134247786227	2635.0323936581217	3036.193411056339	4051.8824558876595	3471.9278292663716	2986.895473169465	3898.775008688944	5494.127102858577	3571.308461474478	4802.7974678286755	3632.9534578202542	4228.358477887078	3034.904199559376	5114.098887716625	1822.404847709877	2645.796880708623	2632.6534959206415	5352.523065717502	1832.9425075233107	3747.732172076311	4423.713759625764	7235.649278434454	3610.966707397078	1192.6536458237467	2111.53019573075	2377.0745147034827	2381.0983931670226	2007.7000244588457	3609.571133574985	3105.3108664341594	3540.971462552215	2200.877475236799	3103.278542450904	3089.374961043798	4672.616883962366	2860.5970712636504	2058.5638220988626	2148.2696679339065	5016.785790227078	2177.367574324987	3898.571453402633
