pathway	SRR6153522	SRR6153523	SRR6153525	SRR6153529	SRR6153530	SRR6153531	SRR6153532	SRR6153536	SRR6153547	SRR6153548	SRR6153549	SRR6153550	SRR6153551	SRR6153552	SRR6153553	SRR6153554	SRR6153555	SRR6153556	SRR6153557	SRR6153583	SRR6153584	SRR6153594	SRR6153595	SRR6153596	SRR6153597	SRR6153598	SRR6153599	SRR6153600	SRR6153601	SRR6153616	SRR6153617	SRR6153622	SRR6153623	SRR6153633	SRR6153634	SRR6153635	SRR6153636	SRR6153638	SRR6153639	SRR6153640	SRR6153641	SRR6153642	SRR6153643	SRR6153645	SRR6153646	SRR6153648	SRR6153651	SRR6153652	SRR6153655	SRR6153660	SRR6153663	SRR6153664	SRR6153667	SRR6153668	SRR6153669	SRR6153674	SRR6153675	SRR6153686	SRR6153687	SRR6153688	SRR6153689	SRR6153690	SRR6153691	SRR6153692	SRR6153693	SRR6153694	SRR6153695	SRR6153696	SRR6153697	SRR6153698	SRR6153699	SRR6153700	SRR6153712	SRR6153715	SRR6153718	SRR6153720	SRR6153723	SRR6153725	SRR6153738	SRR6153748	SRR6153755	SRR6153756	SRR6153757	SRR6153772	SRR6153773	SRR6153780	SRR6153781	SRR6153782	SRR6153783	SRR6153784	SRR6153785	SRR6153786	SRR6153787	SRR6153788	SRR6153789	SRR6153790	SRR6153791	SRR6153794	SRR6153795	SRR6153796	SRR6153797	SRR6153798	SRR6153799	SRR6153800	SRR6153807	SRR6153813	SRR6153818	SRR6153830	SRR6153831	SRR6153838	SRR6153841	SRR6153845	SRR6153846	SRR6153847	SRR6153850	SRR6153851	SRR6153856	SRR6153857	SRR6153864	SRR6153865
12DICHLORETHDEG-PWY	14.400000000000002	10.838709677419356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14DICHLORBENZDEG-PWY	0.0	0.0	0.0	0.0	28.863469075138763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.808219178082194	76.32895864934379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.8235294117647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.205682154483572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY	10502.188936400053	14013.912319523677	12046.8946535368	10705.54973634637	11015.839256420375	9997.671254337185	13451.047348160388	8386.33685040697	7789.052961269297	14189.233807734938	6490.887881355046	9985.045890043722	12351.683971130087	12019.053891185722	9103.495139725444	8109.242972366054	13656.07146152434	20266.36749300431	5617.057268907828	13274.317519918919	15341.920528382685	12632.607852473513	10824.14460265037	12850.547273275963	11170.669295693575	6629.883238978603	7921.628348525833	3864.430174846427	2502.4695850938842	6198.719214631978	11100.455144568721	10733.839716400169	13329.634749387953	7608.774662339784	10547.878151949577	1412.1541112836742	4222.330134646652	4745.5489144700805	3911.203952469634	10645.672265712494	6071.0327403641195	16939.48157640954	11445.702809653283	13617.765445851133	10938.866021609256	22299.178497683297	17574.50528071252	2841.6276313640974	2049.557282990341	13518.246708117387	15165.686142919763	4614.470808549185	5114.804250594858	2434.267846711958	3976.864586625567	10386.9356604327	14823.52187655235	8092.995867657233	1424.2995347644505	18468.368052618986	8969.088637883495	18261.08650057366	10402.897871205747	15321.272039417845	11664.906096313476	14132.918308172226	14910.85442679755	13783.709805223301	11239.643638373369	11607.27863758186	9887.117513785628	9547.43888566886	11750.046443405465	2504.3965772861325	6508.98260746668	9609.371202892065	4752.444810661472	11490.081902176138	11101.471899032456	10880.473228818117	10219.043395174742	9895.310004658773	13327.625620467787	4163.690567115083	3830.851750334282	10009.017467308577	7685.330660977361	7248.656416271504	35569.59698154962	9772.276518225017	14618.415155847943	7003.200694870269	13851.909365586109	6541.160992656969	7077.3851883224015	9274.450557571958	9197.720634881216	8342.859219715203	8504.969726394147	8271.423075137065	14800.914325258336	8800.785854080896	8982.197986719942	10663.340345679999	10717.791034992819	122.44307064677811	11731.193634065505	10528.952112710931	9290.269024467108	6870.913507598977	9318.917124672618	3496.7701945595154	6200.9873316393005	7358.534243692473	13312.115927141691	9550.01689421532	10306.139756973274	7499.546908870826	9526.746105483144	7735.436635051037
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.764288077294669	22.617019818301802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY	0.0	0.0	32.1818677821224	84.61545110461178	52.373951332560836	33.81133766524759	33.64243701701106	70.36790016713792	0.0	9.163666431241495	7.050898942739867	10.455079520656348	81.82052483433982	61.60623113379348	16.72495213784301	14.0199203187251	99.74454488840105	31.12694073624596	8.727272727272728	46.07083604249876	39.1883977846008	53.156620730976634	11.267126925119491	75.61474187116103	41.26957426079058	84.14259206243631	108.2527397665929	37.464230237027294	22.115353740117577	0.0	0.0	0.0	20.147658510317072	0.0	0.0	3.315337048583129	0.0	34.82816397007099	0.0	0.0	47.03453582107821	126.86163627758076	20.602618532771483	60.368198192504586	34.0692237173227	137.48445935855352	73.37980333070439	0.0	5.333333333333334	23.835365259060257	101.26512160626527	77.03303408932794	33.8831493137963	0.0	0.0	0.0	16.475108564157683	7.493694106856225	0.0	50.90021968742116	22.75534628669588	0.0	16.433713496448302	132.02274366435748	113.82708231571853	23.041647901940433	25.93719200470812	18.392832376051896	0.0	10.213773429090047	25.91113712552546	31.139826422372224	101.18764488672464	0.0	33.203862960672026	142.3988671542373	41.044465468306534	55.430535552775055	49.37292805476752	42.128649777819255	29.044479488535803	64.47050500324801	62.14249509550475	0.0	0.0	12.73923290265564	0.0	0.0	51.79773449978323	24.139767054908486	20.26427771556551	74.79566305254379	120.53910838391536	0.0	0.0	51.60716932776689	3.719182597231378	48.4480547299191	40.11472964364394	17.38875305623472	56.71459169205708	0.0	0.0	8.964982231976585	0.0	0.0	79.56537885299355	107.04421898928025	9.467968970498847	0.0	0.0	0.0	0.0	0.0	43.20439136964923	13.44949709731188	16.149068322981364	42.41729685538264	15.101171993911722	9.067422268704059
ANAEROFRUCAT-PWY	4741.080900132766	6862.415596348144	10753.420327524153	9407.203785224676	6053.6293105528675	6046.180517415269	12170.531361672844	8258.14515906566	3437.281115174758	6108.303395966046	6544.33339048403	8942.465637050862	10696.2818524058	10893.50225700819	823.7256347349991	588.7141797216341	13287.68010709502	19118.624665486772	4799.91531192928	8881.883222852122	9714.453271106118	11398.323261677706	9974.052272351828	10331.992401164398	9209.876263828051	5584.7897420373	6353.480913652552	3257.561949184438	2053.307931436899	5081.667986118893	9821.194287977853	7036.886825707071	8494.540728716336	6215.563191463184	8451.429541903077	785.7309865125441	5541.14220593738	4261.652345949977	3401.814169225851	6885.8896849581615	5581.167554667253	15483.287933999416	7709.1472745383235	12429.622080964233	9846.90694567375	17694.027002064995	13173.168767206213	2573.9736490248224	1885.9660336469506	11539.502280800034	11450.154002035886	4416.451775355323	4900.322812032127	2238.880557029848	3704.358153620335	7936.826753924041	12349.670957148726	6986.858282570437	1217.8193594984518	14154.264239671857	6477.916514922827	8249.101180107598	4415.344520058085	14805.984668054905	11368.045629618928	3536.2654396053686	5750.008997780742	12525.712920988084	10092.088674376137	5383.103535808986	9682.897474428015	9241.647038369687	10123.710679099418	2384.5619542991953	6153.622940002673	9186.788501446581	4586.314015965757	10608.387308456913	10045.285225537466	5193.253443698918	4492.633828014378	7212.971607908975	9866.651621034953	2712.034051670238	2724.97773370775	7607.44314008963	7119.365532184401	4780.665729355254	27832.276828418257	610.132514320016	1137.9165198164371	3486.1200710546364	8716.762467483448	3970.0074959602134	4005.4571818266495	6961.719233873724	6058.046011961863	7362.799188623126	7052.157640663358	5205.653737743827	7423.729187093905	6587.700488527534	7638.690871511888	4120.662619566672	8362.23445837497	142.27123257267687	10913.49789882626	8823.212733458255	8161.877338851988	5661.200568051101	6403.468829176273	2996.831814269708	5601.128978738772	6871.454837147997	10286.74804347723	6120.9002688154615	8919.406817698338	8378.508041352687	6478.47072734504	6078.329036976204
ANAGLYCOLYSIS-PWY	6628.050533690811	9609.197172680517	14231.187633800851	12159.620450499815	7969.215317900682	7834.90618589666	15904.596897933963	10419.9800049627	4712.130880714708	8407.902892544014	8849.879309059852	13633.655449715645	13766.496603088674	13682.404758344292	1220.9158402638877	874.5239743531414	17317.764606536206	26165.433268642777	6252.119979983765	11709.75070241692	13053.737686833716	14833.714360839569	12866.628903576944	12922.544358922409	11528.561431392456	7192.438852914734	8225.646674036925	4282.15320621572	2706.1014857565124	6481.0827147794025	12786.829376437794	13416.169114473509	16586.79553427831	8484.794204225813	11498.678786778919	2311.6463651376844	8852.222702680716	5573.275193656069	4783.861838164579	9271.947070400192	7260.181727648746	20102.88291467012	10319.903555986439	16161.505386694676	12985.970833290807	26376.98826509105	20436.310982142062	3491.7893941574375	2549.883310747782	14881.405223187694	14962.617095527914	6002.0635070788985	6297.5548085313185	3035.1248531978113	4989.789456082929	10026.012960621154	15504.98249894605	10131.85353247984	1859.0269877430671	18461.565759348425	8552.044931130018	11444.57423902198	6137.378139499313	19712.297637541757	15226.854060888854	5114.971637456582	8160.728963727412	16256.888116304928	13096.515940760144	14589.592719831993	12805.707046984227	12120.244256631697	13021.92618482069	3517.747592941062	7849.202957348258	11893.701249930446	5834.095222950869	13475.276338494778	13130.785777751653	7265.071669712781	6286.249683195368	9214.744499893157	12589.358853824864	5358.920831452216	4926.792465469622	9761.826181984301	8983.348481895724	6359.905759991608	37923.25362566293	906.6506531613279	1689.024009212498	4690.443049014243	11839.843086957178	5286.42475737704	5355.16421867541	9341.775536349414	8091.549853115839	9571.667736594556	9156.68023889765	6910.394846805327	10062.031089072676	8484.828164989654	9956.409019888326	13476.981744667919	11123.6818614513	172.27712062537623	14101.57396330487	11359.001387606404	10441.617996109482	7395.379009180383	8804.782801827318	3929.156514668279	8113.309918714407	9222.42435451591	13443.511217638476	8172.510292221611	12078.876884340309	11439.534917510111	8639.947039710822	8022.742350444057
ARG+POLYAMINE-SYN	4277.880828253726	3943.4805061004217	347.85234810526015	435.7681535435856	2099.320079554884	1616.7436282740919	942.6448938413516	476.7350271432674	1166.6029784810032	1397.109034011928	1761.2734286869145	2518.093139524657	673.4300031595519	475.8018034152482	1842.7009092832427	1777.0452629493705	997.4341103788958	4230.943904684681	135.10988521756974	864.6425680228134	979.5012719652673	134.16566521313715	318.35759519568654	1040.4472295076334	987.8221627528694	1416.8223035338224	1188.6800557381382	204.30327092578898	171.2836080616151	722.084833647392	354.3151562572676	628.2305048965727	847.6136499593067	238.87483536573006	218.65413275742102	25.249314346513888	0.0	740.2434358439558	739.4752760779555	780.0386256865924	904.7426374959834	1019.9210233051532	994.7267024489873	675.6827631031674	2264.092452524103	564.4271762682637	353.6177328570242	109.85053166337903	75.23768055787272	1235.5022177548215	1615.739715371144	547.3706170252152	508.4543561023254	3.1942202778365942	15.90846846235163	1727.6614511040684	2823.4160959965407	1265.9903719981621	0.0	1321.8919615031527	888.1026794487719	1058.4516686615982	614.6562012695621	377.7103230645364	350.16899920444035	352.4957977431927	388.9017383815275	966.0516307258454	881.898337281164	578.548703276346	605.4352214123545	588.0566296623016	459.55923152058597	290.47531699121134	336.5992370584192	480.2752913919003	61.0472653420311	433.56558973698515	3298.5136265444153	645.0480857706051	348.64196414140997	109.56673711465237	146.8055752607344	0.0	0.0	557.275287692144	473.9518296802066	601.5054061315974	2729.8660121835146	334.63863864656867	527.377174142605	385.3786466262341	870.5053304817995	589.1693782341583	522.5238247573634	1159.0662500848332	1012.165644424794	88.27766635075503	205.1696955583479	417.03722835623313	813.3565187591322	1193.9664160934296	335.3608388311772	372.36763370081553	1236.3129152127435	27.98373786718688	459.47042300373664	533.339201408657	442.43193933436714	211.6455527866782	236.72494427223205	204.35149418881423	176.9690938746057	124.93372849352274	840.8589639245159	675.3955465707668	1315.6404518278844	685.7581138524105	325.75694419959257	275.47439260825024
ARGDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6712641885511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.25901451479071	23.77174376903182	0.0	0.0	2.806504857369107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.443861531589274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06303528706417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.827597389217233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGININE-SYN4-PWY	9104.555942159664	11318.059231082287	12873.069328327849	9426.534774985388	10717.46535079034	9492.346595135172	12950.310709791776	6933.353959471679	8583.990156429914	14330.636996484413	7171.137279161597	9380.827651390537	10626.210509210265	9792.619634586395	8443.9507023797	7614.412035005756	10820.434515450523	14816.349646964514	5270.067621360956	13955.191161401317	15578.834613261804	12681.717855719478	10825.146151321533	10989.783730098212	9438.225479431894	6840.659255745887	8242.987861212183	3848.12797910503	2523.330993207371	6268.737730116773	11727.561770503518	4306.557851196113	5395.194119624881	7229.260312481181	9723.527604095647	839.1887752941275	3034.371679235911	3972.603209386023	3910.641194052531	11155.600395554313	5130.509100376322	15225.80462303729	12226.097569962672	12175.635260362971	12304.582786236866	12151.676815005023	8902.478776074793	1826.1992595139038	1350.9432561934627	10723.073369017058	12727.053344960988	3221.0885651257163	4024.880258251448	2422.2690262876527	3787.8911904151787	9197.040753384144	12878.042896856758	6759.094583675779	1358.1417863750446	17314.786774781274	8774.299509197228	17291.834939475706	10122.068559233676	11251.073696806092	8567.122522700538	9774.229143622239	10839.865317734273	10755.57601031923	8844.23567460233	3737.0493290380964	8562.060376422449	8032.519160007877	11550.064449974572	2004.899055624417	4136.453006815373	8941.375024673598	4616.854428643514	6657.731773503665	12497.689403036129	10430.45670060041	10171.401861052316	8304.455259815526	11082.423880065253	1500.5334637180483	1582.1038171435357	9680.113281864651	7482.284564966293	6094.866883101363	33233.02073930256	7480.364987290217	11387.718770501682	6668.297936448768	12998.436971805531	6350.33044655426	6729.191382361029	10231.01526030911	8876.941560050911	7412.480197904111	7533.722034404132	8961.198791349892	15627.618651892251	9008.020852426334	9317.210945731711	3022.151402263185	12329.461441532492	112.07877461706784	11405.228495997673	10792.189950319093	9464.799289872628	5721.05844809205	6457.978135261493	2098.446224425545	5061.796000247466	6372.389487070546	12907.69560857716	9114.195420574602	11817.576299048578	10492.074591568777	9752.344352581078	8712.07539940077
